"Country","Factory_Name","Address","City","Code","Province","Factory_Number","Product_Type","Total_Workers","Female_Workers","Male_Workers","Migrant_Workers","Parent_Organization_Name","Line_Workers","Factory_Type","Supplier_Group","Corporation_Brand","Region"
"Italy","TIGAMARO SRL","Via Cristoforo Colombo 164","Macerata","62029","Macerata","","Equipment","118","109","9","5","","100","FINISHED GOODS","TIGAMARO","Nike","EMEA"
"Vietnam","Ting Heng Co., Ltd","Lot HA3 and HA4 and 01HA5 and 02HA5","Duc Hoa","850000","Long An","","Footwear","190","57","133","10","","150","MATERIALS","TING HENG","Converse","SE ASIA"
"Vietnam","Tiong Liong Vietnam Tronjen Industrial Co., Ltd. (Weaving & Lamination) ","1111 Map DC8 4 Binh Chuan Production Zone","Thuan An Town","820000","Bình Duong","","Footwear","170","0","170","0","","60","MATERIALS","TIONG LIONG GROUP","Nike","SE ASIA"
"China","FUQING TIONGLIONG XINYE SHOES MATERIAL CO LTD","Hongkuan Industry Village","Fuqing City","350323","Fujian","","Footwear","122","23","99","0","","70","MATERIALS","TIONG LIONG GROUP","Nike","N ASIA"
"Taiwan","TIONG LIONG-Tiong Liong Industrial Co., Ltd. (Lamination)","NO 8 Lane 758 SEC 3 ZHONGQING RD","Taichung City","428","Taichung","","Footwear","67","0","67","12","","28","MATERIALS","TIONG LIONG GROUP","Nike","N ASIA"
"South Korea","TKG ECO MATERIAL SYNTHETIC (TR1) (KOREA)","11 Noksansandan 382ro 49beongil Gangseogu","Busan","46756","Busan Gwangyeogsi","","Footwear","247","15","232","0","","137","FINISHED GOODS - COMPONENTS","TKG ECO MATERIAL","Nike","N ASIA"
"Vietnam","TKG ECO MATERIAL SYNTHETIC (VIETNAM)","Lot 45 18 02 Road N14 Phuoc Dong Industrial Park","Tay Ninh","840000","Tây Ninh","","Footwear","502","136","366","0","","390","MATERIALS","TKG ECO MATERIAL","Nike","SE ASIA"
"Vietnam","TKG TAEKWANG VINA JOINT STOCK COMPANY","No 8 Road 9A","BIEN HOA","700000","Ðng Nai","","Footwear","15098","12078","3020","0","","11877","FINISHED GOODS","TAEKWANG","Nike","SE ASIA"
"Vietnam","TKG TAEKWNG BINH PHUOC COMPANY LIMITED","Lot E1 E2 Minh Hung Korea Industrial Park","Chon Than Townlet","83000","Bình Phuc","","Footwear","1762","1357","405","0","","1548","MATERIALS","TAEKWANG","Nike","SE ASIA"
"Vietnam","TMI Vietnam Co., Ltd","1365 1 National Road 1A An Phu Dong Ward District 12","Ho Chi Minh City","700000","Ho Chi Minh","","Apparel","1619","1149","470","0","","1313","FINISHED GOODS","TUNG MUNG","Nike","SE ASIA"
